su,bl,type,tr,let,num,rilet,vac,vse,rt,acc,respSE,respRT,statAC,statSE,statRT,stratac,strat,stratrt,item
1,13,3,8,2,7,9,0,0,777,1,9,0,0,1,124,0,0,0,3
1,13,3,9,5,9,14,0,0,782,1,14,0,0,1,96,1,2,782,6
1,13,3,10,6,7,13,0,0,691,1,13,0,0,1,89,0,0,0,7
1,14,3,1,6,7,13,0,0,695,1,13,0,0,1,86,1,2,753,7
1,14,3,2,3,9,12,0,0,896,1,12,0,0,1,95,0,0,0,4
1,14,3,3,7,9,16,0,0,705,1,16,0,0,1,94,0,0,0,8
1,14,3,4,1,9,10,0,0,889,1,10,0,0,1,112,0,0,0,2
1,14,3,5,4,7,11,0,0,637,1,11,0,0,1,80,1,2,1108,5
1,14,3,6,5,9,14,0,0,705,1,14,0,0,1,71,0,0,0,6
1,14,3,7,8,7,15,0,0,637,1,15,0,0,1,74,1,2,873,9
1,14,3,8,9,9,18,0,0,1115,1,18,0,0,1,88,0,0,0,10
1,14,3,9,2,7,9,0,0,715,1,9,0,0,1,118,1,2,859,3
1,14,3,10,0,7,7,0,0,756,1,7,0,0,1,127,1,2,767,1
1,15,3,1,0,7,7,0,0,596,1,7,0,0,1,97,0,0,0,1
1,15,3,2,2,7,9,0,0,562,1,9,0,0,1,71,0,0,0,3
1,15,3,3,3,9,12,0,0,849,1,12,0,0,1,75,1,2,786,4
1,15,3,4,8,7,15,0,0,719,1,15,0,0,1,94,0,0,0,9
1,15,3,5,4,7,11,0,0,675,1,11,0,0,1,74,0,0,0,5
1,15,3,6,5,9,14,0,0,583,1,14,0,0,1,60,1,2,958,6
1,15,3,7,7,9,16,0,0,1707,1,16,0,0,1,108,1,2,729,8
1,15,3,8,6,7,13,0,0,843,1,13,0,0,1,106,0,0,0,7
1,15,3,9,9,9,18,0,0,670,1,18,0,0,1,138,1,2,1087,10
1,15,3,10,1,9,10,0,0,821,1,10,0,0,1,76,1,2,762,2
1,16,3,1,9,9,18,0,0,1049,1,18,0,0,1,111,0,0,0,10
1,16,3,2,3,9,12,0,0,621,1,12,0,0,1,79,0,0,0,4
1,16,3,3,1,9,10,0,0,673,1,10,0,0,1,97,0,0,0,2
1,16,3,4,5,9,14,0,0,564,1,14,0,0,1,105,0,0,0,6
1,16,3,5,8,7,15,0,0,497,1,15,0,0,1,79,1,2,909,9
1,16,3,6,7,9,16,0,0,923,1,16,0,0,1,90,0,0,0,8
1,16,3,7,4,7,11,0,0,678,1,11,0,0,1,86,1,2,873,5
1,16,3,8,0,7,7,0,0,689,1,7,0,0,1,77,1,2,817,1
1,16,3,9,2,7,9,0,0,705,1,9,0,0,1,108,1,2,731,3
1,16,3,10,6,7,13,0,0,691,1,13,0,0,1,98,1,2,952,7
1,17,3,1,4,7,11,0,0,670,1,11,0,0,1,117,0,0,0,5
1,17,3,2,0,7,7,0,0,605,1,7,0,0,1,92,0,0,0,1
1,17,3,3,2,7,9,0,0,793,1,9,0,0,1,119,0,0,0,3
1,17,3,4,7,9,16,0,0,844,1,16,0,0,1,80,1,2,921,8
1,17,3,5,8,7,15,0,0,716,1,15,0,0,1,132,0,0,0,9
1,17,3,6,9,9,18,0,0,864,1,18,0,0,1,91,1,2,793,10
1,17,3,7,5,9,14,0,0,1153,1,14,0,0,1,84,1,2,842,6
