su,bl,item,RT,itype,first,strat,bl_r
45,24,25,2357,1,19,2,6
45,25,25,1722,1,19,2,7
45,26,25,1810,1,19,2,8
45,2,26,8277,1,19,1,-16
45,3,26,7793,1,19,1,-15
45,4,26,7718,1,19,1,-14
45,5,26,7735,1,19,1,-13
45,7,26,9482,1,19,1,-11
45,8,26,8701,1,19,1,-10
45,9,26,7987,1,19,1,-9
45,11,26,8315,1,19,1,-7
45,13,26,8934,1,19,1,-5
45,14,26,7400,1,19,1,-4
45,15,26,8384,1,19,1,-3
45,16,26,8048,1,19,1,-2
45,18,26,8598,1,19,1,0
45,19,26,2386,1,19,2,1
45,20,26,2743,1,19,2,2
45,21,26,2087,1,19,2,3
45,22,26,1916,1,19,2,4
45,23,26,1191,1,19,2,5
45,24,26,1666,1,19,2,6
45,25,26,2959,1,19,2,7
45,26,26,1906,1,19,2,8
45,2,27,7171,1,13,1,-10
45,3,27,7211,1,13,1,-9
45,4,27,6888,1,13,1,-8
45,5,27,6494,1,13,1,-7
45,6,27,6859,1,13,1,-6
45,7,27,7773,1,13,1,-5
45,8,27,7727,1,13,1,-4
45,11,27,6659,1,13,1,-1
45,12,27,7665,1,13,1,0
45,13,27,1617,1,13,2,1
45,14,27,1627,1,13,2,2
45,15,27,2131,1,13,2,3
45,16,27,1403,1,13,2,4
45,17,27,2299,1,13,2,5
45,18,27,1100,1,13,2,6
45,19,27,1776,1,13,2,7
45,20,27,2335,1,13,2,8
45,21,27,1290,1,13,2,9
45,22,27,1424,1,13,2,10
45,23,27,1955,1,13,2,11
45,24,27,520,1,13,2,12
45,25,27,663,1,13,2,13
45,26,27,1154,1,13,2,14
45,2,28,6804,1,17,1,-14
45,4,28,6612,1,17,1,-12
45,8,28,9237,1,17,1,-8
45,9,28,6718,1,17,1,-7
45,10,28,6442,1,17,1,-6
45,12,28,5925,1,17,1,-4
45,15,28,6345,1,17,1,-1
45,16,28,8921,1,17,1,0
45,17,28,2815,1,17,2,1
45,18,28,2409,1,17,2,2
45,19,28,1276,1,17,2,3
45,20,28,1832,1,17,2,4
45,22,28,2085,1,17,2,6
45,23,28,897,1,17,2,7
45,24,28,1012,1,17,2,8
45,25,28,1392,1,17,2,9
45,26,28,2437,1,17,2,10
45,8,29,5605,1,18,1,-9
45,9,29,5548,1,18,1,-8
45,10,29,5810,1,18,1,-7
45,12,29,6154,1,18,1,-5
45,15,29,6997,1,18,1,-2
45,16,29,6387,1,18,1,-1
45,18,29,1569,1,18,2,1
45,19,29,1356,1,18,2,2
45,20,29,1552,1,18,2,3
45,21,29,1577,1,18,2,4
45,23,29,885,1,18,2,6
45,24,29,1052,1,18,2,7
45,25,29,1360,1,18,2,8
45,26,29,875,1,18,2,9
46,1,20,8726,1,4,1,-2
46,2,20,10528,1,4,1,-1
46,4,20,1490,1,4,2,1
46,5,20,1413,1,4,2,2
46,6,20,1185,1,4,2,3
46,8,20,1133,1,4,2,5
46,9,20,1248,1,4,2,6
46,10,20,1022,1,4,2,7
46,12,20,1281,1,4,2,9
46,13,20,1539,1,4,2,10
46,14,20,1653,1,4,2,11
46,15,20,1390,1,4,2,12
46,16,20,1385,1,4,2,13
46,17,20,2235,1,4,2,14
46,18,20,1102,1,4,2,15
46,19,20,879,1,4,2,16
46,20,20,1046,1,4,2,17
46,21,20,1342,1,4,2,18
46,22,20,2108,1,4,2,19
46,23,20,1318,1,4,2,20
46,24,20,766,1,4,2,21
46,25,20,1512,1,4,2,22
46,26,20,1074,1,4,2,23
46,27,20,1560,1,4,2,24
46,28,20,962,1,4,2,25
46,2,21,10513,1,7,1,-4
46,3,21,10848,1,7,1,-3
46,5,21,11076,1,7,1,-1
46,6,21,10859,1,7,1,0
46,7,21,686,1,7,2,1
46,8,21,1427,1,7,2,2
46,9,21,1520,1,7,2,3
46,10,21,3695,1,7,2,4
46,11,21,1215,1,7,2,5
46,12,21,2374,1,7,2,6
46,14,21,1687,1,7,2,8
46,15,21,1537,1,7,2,9
46,18,21,455,1,7,2,12
46,19,21,1168,1,7,2,13
46,20,21,1414,1,7,2,14
46,21,21,1111,1,7,2,15
46,22,21,1606,1,7,2,16
46,23,21,1580,1,7,2,17
46,24,21,1690,1,7,2,18
46,25,21,884,1,7,2,19
46,26,21,1019,1,7,2,20
46,27,21,1727,1,7,2,21
46,28,21,1344,1,7,2,22
46,1,22,7068,1,15,1,-13
46,2,22,7998,1,15,1,-12
46,3,22,7921,1,15,1,-11
46,4,22,7641,1,15,1,-10
46,5,22,8435,1,15,1,-9
46,6,22,7230,1,15,1,-8
46,8,22,8085,1,15,1,-6
46,9,22,7099,1,15,1,-5
46,10,22,8142,1,15,1,-4
46,12,22,8540,1,15,1,-2
46,13,22,6876,1,15,1,-1
46,14,22,7246,1,15,1,0
46,15,22,971,1,15,2,1
46,16,22,1188,1,15,2,2
46,17,22,3276,1,15,2,3
46,18,22,1512,1,15,2,4
46,19,22,1141,1,15,2,5
46,20,22,902,1,15,2,6
46,21,22,1258,1,15,2,7
46,22,22,1210,1,15,2,8
46,23,22,546,1,15,2,9
46,24,22,1196,1,15,2,10
46,25,22,831,1,15,2,11
46,26,22,835,1,15,2,12
46,27,22,1437,1,15,2,13
46,28,22,1253,1,15,2,14
46,1,23,8197,1,22,1,-20
46,2,23,8892,1,22,1,-19
46,3,23,9562,1,22,1,-18
46,6,23,9477,1,22,1,-15
46,7,23,8872,1,22,1,-14
46,8,23,9978,1,22,1,-13
46,9,23,8436,1,22,1,-12
46,10,23,9573,1,22,1,-11
46,11,23,8728,1,22,1,-10
46,12,23,10993,1,22,1,-9
46,13,23,9626,1,22,1,-8
46,15,23,9728,1,22,1,-6
46,16,23,10123,1,22,1,-5
46,17,23,8572,1,22,1,-4
46,18,23,8850,1,22,1,-3
46,19,23,10424,1,22,1,-2
46,21,23,9201,1,22,1,0
46,22,23,1714,1,22,2,1
46,23,23,1381,1,22,2,2
46,24,23,1448,1,22,2,3
46,25,23,1350,1,22,2,4
46,26,23,5407,1,22,2,5
46,27,23,1916,1,22,2,6
46,28,23,1674,1,22,2,7
46,1,24,6800,1,20,1,-18
46,2,24,6898,1,20,1,-17
46,3,24,7844,1,20,1,-16
46,4,24,7554,1,20,1,-15
46,5,24,7224,1,20,1,-14
46,7,24,8226,1,20,1,-12
46,8,24,7569,1,20,1,-11
46,9,24,7013,1,20,1,-10
46,12,24,7254,1,20,1,-7
46,13,24,7482,1,20,1,-6
46,15,24,8361,1,20,1,-4
46,16,24,8741,1,20,1,-3
46,17,24,7444,1,20,1,-2
46,18,24,7854,1,20,1,-1
46,20,24,1649,1,20,2,1
46,21,24,946,1,20,2,2
46,22,24,1478,1,20,2,3
46,23,24,1821,1,20,2,4
46,24,24,1283,1,20,2,5
46,26,24,1730,1,20,2,7
46,28,24,1428,1,20,2,9
46,1,25,8052,1,10,1,-8
46,3,25,8839,1,10,1,-6
46,4,25,8664,1,10,1,-5
46,5,25,9314,1,10,1,-4
46,6,25,9392,1,10,1,-3
46,7,25,9392,1,10,1,-2
46,8,25,9338,1,10,1,-1
46,9,25,7853,1,10,1,0
46,10,25,2237,1,10,2,1
46,11,25,539,1,10,2,2
46,12,25,1665,1,10,2,3
46,13,25,1101,1,10,2,4
46,14,25,989,1,10,2,5
46,15,25,1572,1,10,2,6
46,16,25,964,1,10,2,7
46,17,25,1007,1,10,2,8
46,18,25,858,1,10,2,9
46,19,25,767,1,10,2,10
46,20,25,992,1,10,2,11
46,21,25,866,1,10,2,12
46,22,25,955,1,10,2,13
46,23,25,1264,1,10,2,14
46,24,25,978,1,10,2,15
46,25,25,689,1,10,2,16
46,26,25,849,1,10,2,17
46,28,25,524,1,10,2,19
46,2,26,11675,1,17,1,-14
46,3,26,11423,1,17,1,-13
46,4,26,12083,1,17,1,-12
46,5,26,11066,1,17,1,-11
46,7,26,10889,1,17,1,-9
46,8,26,11098,1,17,1,-8
46,9,26,11591,1,17,1,-7
46,10,26,10605,1,17,1,-6
46,11,26,10558,1,17,1,-5
46,12,26,9746,1,17,1,-4
46,13,26,9878,1,17,1,-3
46,14,26,11436,1,17,1,-2
46,15,26,13345,1,17,1,-1
46,17,26,1871,1,17,2,1
46,18,26,4130,1,17,2,2
46,19,26,8025,1,17,2,3
46,22,26,3525,1,17,2,6
46,23,26,3127,1,17,2,7
46,24,26,1199,1,17,2,8
46,25,26,1493,1,17,2,9
46,26,26,1786,1,17,2,10
46,27,26,746,1,17,2,11
46,28,26,1170,1,17,2,12
46,1,27,9534,1,12,1,-10
46,2,27,9742,1,12,1,-9
46,3,27,9946,1,12,1,-8
46,4,27,12749,1,12,1,-7
46,5,27,10018,1,12,1,-6
46,6,27,10420,1,12,1,-5
46,7,27,10105,1,12,1,-4
46,8,27,9667,1,12,1,-3
46,9,27,10638,1,12,1,-2
46,11,27,9668,1,12,1,0
46,12,27,2357,1,12,2,1
46,13,27,1707,1,12,2,2
46,14,27,1291,1,12,2,3
46,17,27,2230,1,12,2,6
46,18,27,1263,1,12,2,7
46,19,27,1502,1,12,2,8
46,20,27,906,1,12,2,9
46,21,27,877,1,12,2,10
46,22,27,907,1,12,2,11
46,23,27,786,1,12,2,12
46,24,27,1859,1,12,2,13
46,25,27,1791,1,12,2,14
46,26,27,481,1,12,2,15
46,27,27,1147,1,12,2,16
46,28,27,1334,1,12,2,17
46,1,28,7409,2,15,1,-13
46,3,28,10535,2,15,1,-11
46,4,28,8309,2,15,1,-10
46,5,28,10308,2,15,1,-9
46,6,28,9162,2,15,1,-8
46,7,28,9516,2,15,1,-7
46,8,28,8346,2,15,1,-6
46,9,28,9125,2,15,1,-5
46,10,28,7842,2,15,1,-4
46,11,28,7700,2,15,1,-3
46,13,28,7765,2,15,1,-1
46,14,28,7973,2,15,1,0
46,15,28,1905,2,15,2,1
46,16,28,8419,2,15,1,2
46,17,28,1798,2,15,2,3
46,18,28,1238,2,15,2,4
46,19,28,1421,2,15,2,5
46,20,28,1101,2,15,2,6
46,21,28,1227,2,15,2,7
46,22,28,1070,2,15,2,8
46,23,28,6218,2,15,2,9
46,24,28,995,2,15,2,10
46,25,28,684,2,15,2,11
46,26,28,1317,2,15,2,12
46,27,28,1109,2,15,2,13
46,1,29,6722,2,17,1,-15
46,2,29,6300,2,17,1,-14
46,3,29,9483,2,17,1,-13
46,4,29,7007,2,17,1,-12
46,5,29,7041,2,17,1,-11
46,7,29,7240,2,17,1,-9
46,8,29,7581,2,17,1,-8
46,10,29,6639,2,17,1,-6
46,11,29,7251,2,17,1,-5
46,12,29,6481,2,17,1,-4
46,14,29,6290,2,17,1,-2
46,15,29,7668,2,17,1,-1
46,16,29,7639,2,17,1,0
46,17,29,1025,2,17,2,1
46,19,29,7456,2,17,1,3
46,20,29,989,2,17,2,4
46,21,29,7983,2,17,1,5
46,22,29,995,2,17,2,6
46,23,29,3782,2,17,2,7
46,24,29,996,2,17,2,8
46,25,29,853,2,17,2,9
46,26,29,1352,2,17,2,10
46,28,29,1530,2,17,2,12
47,1,20,12090,1,12,1,-10
47,2,20,9575,1,12,1,-9
47,3,20,10059,1,12,1,-8
47,4,20,8721,1,12,1,-7
47,5,20,9199,1,12,1,-6
47,6,20,9392,1,12,1,-5
47,7,20,9317,1,12,1,-4
47,8,20,9089,1,12,1,-3
47,9,20,9051,1,12,1,-2
47,10,20,10620,1,12,1,-1
47,11,20,9450,1,12,1,0
47,12,20,2320,1,12,2,1
47,13,20,635,1,12,2,2
47,14,20,788,1,12,2,3
47,15,20,906,1,12,2,4
47,16,20,1277,1,12,2,5
47,17,20,1104,1,12,2,6
47,18,20,1737,1,12,2,7
47,19,20,5498,1,12,2,8
47,20,20,1548,1,12,2,9
47,21,20,854,1,12,2,10
47,22,20,1837,1,12,2,11
47,23,20,982,1,12,2,12
47,24,20,2063,1,12,2,13
47,25,20,1584,1,12,2,14
47,26,20,897,1,12,2,15
47,27,20,960,1,12,2,16
47,28,20,897,1,12,2,17
47,29,20,758,1,12,2,18
47,30,20,1037,1,12,2,19
47,31,20,1420,1,12,2,20
47,32,20,1266,1,12,2,21
47,33,20,1050,1,12,2,22
47,34,20,860,1,12,2,23
47,35,20,1561,1,12,2,24
47,36,20,794,1,12,2,25
47,37,20,1345,1,12,2,26
47,38,20,775,1,12,2,27
47,1,21,11023,1,11,1,-9
47,3,21,9195,1,11,1,-7
47,4,21,9054,1,11,1,-6
47,5,21,9076,1,11,1,-5
47,6,21,8459,1,11,1,-4
47,7,21,9370,1,11,1,-3
47,8,21,8464,1,11,1,-2
47,9,21,8716,1,11,1,-1
47,11,21,2659,1,11,2,1
47,12,21,4131,1,11,2,2
47,13,21,4390,1,11,2,3
47,14,21,1349,1,11,2,4
47,15,21,1805,1,11,2,5
47,16,21,1344,1,11,2,6
47,17,21,1087,1,11,2,7
47,19,21,951,1,11,2,9
47,20,21,1084,1,11,2,10
47,21,21,1003,1,11,2,11
47,22,21,1840,1,11,2,12
47,23,21,860,1,11,2,13
47,24,21,922,1,11,2,14
47,25,21,1176,1,11,2,15
47,26,21,1052,1,11,2,16
47,27,21,882,1,11,2,17
47,29,21,1750,1,11,2,19
47,30,21,840,1,11,2,20
47,31,21,1111,1,11,2,21
47,32,21,1681,1,11,2,22
47,34,21,964,1,11,2,24
47,35,21,815,1,11,2,25
47,36,21,1475,1,11,2,26
47,37,21,1223,1,11,2,27
47,38,21,1053,1,11,2,28
47,1,22,8500,1,2,1,0
47,2,22,1633,1,2,2,1
47,3,22,1691,1,2,2,2
47,4,22,1835,1,2,2,3
47,5,22,1274,1,2,2,4
47,6,22,1535,1,2,2,5
47,7,22,1090,1,2,2,6
47,8,22,981,1,2,2,7
47,9,22,945,1,2,2,8
47,10,22,931,1,2,2,9
47,11,22,842,1,2,2,10
47,12,22,924,1,2,2,11
47,13,22,938,1,2,2,12
47,14,22,925,1,2,2,13
47,15,22,850,1,2,2,14
47,16,22,808,1,2,2,15
47,17,22,978,1,2,2,16
47,18,22,1007,1,2,2,17
47,19,22,860,1,2,2,18
47,20,22,727,1,2,2,19
47,21,22,858,1,2,2,20
47,22,22,703,1,2,2,21
47,23,22,650,1,2,2,22
47,24,22,900,1,2,2,23
47,25,22,739,1,2,2,24
